text,song,artist
"One day of your life is all I'm askin' girl,  
Just give me one day of your life and let me share your world.  
If you give me one little moment I will make this moment last,  
I'll live the future with the past.  
  
One day of your life can't mean that much to you,  
It's only one day of your life, but it will see me through.  
If I can't have you for ever, if I can't have things my way  
I'll be content with just one day.  
  
If I must build a world of fantasy,  
Please with a memory.  
  
One day of your life is all I'm asking girl,  
Just give me one day of your life and let me share your world.  
If I can't have you for ever, if I can't have things my way  
I'll be content with just one day.  
  
One day of your life,  
Ooooh one day of your life,  
It's only one day of your life,  
Just give me only one day of your life  

",One Day Of Your Life,Andy Williams
"Days of old when knights were bold, Britain ruled supreme  
Songs were sung and tales were told, life was like a dream  
Top men like the great King Arthur never came here ever after  
Ever since those gallant heroes gone  
  
London Bridge is falling down  
Falling down I said, falling down  
London Bridge is falling down  
Falling down I said, falling down  
  
Noted for diplomacy, once the mighty fall  
Touching pmp of pageantry, history books all show  
Husky dogs and great explorers  
Mighty kings and sage warriors  
Trouble take me since they're dead and gone  
  
London Bridge is falling down  
Falling down I said, falling down  
London Bridge is falling down  
Falling down I said, falling down  
  
Early evening entertainment  
People sleeping on the pavement  
In the eyes of god we must be wrong  
  
London Bridge is falling down  
Falling down I said, falling down  
London Bridge is falling down  
Falling down I said, falling down  
  
Time was when a British Empire was in full control  
France and Spain were just the same if the truth be known  
Now the walls are down in Europe  
Forming laws with certain Arabs?  
Better get your petrol while you can  
  
London Bridge is falling down  
Falling down I said, falling down  
London Bridge is falling down  
Falling down I said, falling down  
  
Like the grip of an old King Kong  
From South Africa to Hong Kong  
Now the times are moving on and  
  
London Bridge is falling down  
Falling down I said, falling down  
London Bridge is falling down  
Falling down I said, falling down  
  
In the days gone by we'd pay for the things we'd got  
Now we pay to advertise while we sell the lot  
All the companies we started sold out on the open market  
Where are jobs now that they're gone?  
  
London Bridge is falling down  
Falling down I said, falling down  
London Bridge is falling down  
Falling down I said, falling down  
  
If we're sure we want to stay  
On this, our base for the us of A  
Then it's time that we should say that  
  
London Bridge is falling down  
Falling down I said, falling down  
London Bridge is falling down  
Falling down I said, falling down  
  
London Bridge is falling down  
London Bridge is falling down  
London Bridge is falling down

",London Bridge Is Falling Down,Kirsty Maccoll
"It's an alliance...  
It's another lie... I'd say  
  
Fall in love tonight  
Even if my eyes  
Even though sometime  
I'm burning out tonight  
  
It's another thing that I'll write  
Feeling like I'll die by myself  
Why?  
  
It's mad enough tonight  
And for it's never cold  
  
It's not a right  
When I can, nevermind  
It's all mine...  
It's all mine...  
Inside I hide  
  
But I'd never mind...  
  
Then... I said...  
Minerals will make... The world  
If we did not have chemicals  
You would not be writing my...  
Death...  
Certificate  
  
Fighting is my friend  
My dog left me  
Yes I'm sad  
One more day, then I can climb inside, safe from you?  
  
Fighting isn't my friend  
When I will never have my friend  
Fighting silence as a friend  
I'm silent and I can't turn it around  
  
And she improvised  
Cause she was supervised  
And I was idolized  
I was idolized  
For those... For those... For those...  
I was aroused and fucked  
  
Finally...  
And I...  
Was in my trap  
And I...  
Another guy  
And a knife...  
  
My milk is your shit  
My milk is your shit  
It's hard and boiled  
  
And sour, all again  
My milk is your shit  
My milk is your shit  
My milk is your shit  
My milk is your shit  
My milk is your shit  
My milk is your shit  
My milk is your shit  
My milk is your shit  
It revolves, it revolves  
It revolves and around  
And over all  
Liver and bones  
Liver and bones  
Liver and bones  
Liver and bones  
With the Ramones  
Come out and smile  
And I'll watch when  
  
My milk is your shit  
My milk is your shit  
My milk is your shit  
My milk is your shit  
My milk is your  
My milk is your  
My milk is your shit  
  
My milk is it  
Psst... Got to get all of it  
Cause I can't fight

",The Other Improv,Nirvana
"Gonna find her  
I'm gonna find her  
I'm gonna find her, yeah  
  
[Chorus:]  
Now searchin'  
Been searchin'  
Searchin' every way which way oh yay  
Oh Lord now searchin'  
Yeah searchin'  
Searchin' every way which way oh yay  
I'm like that Northwest Mountie  
You know I'll bring her in someday  
  
If I have to swim a river  
You know I will  
And if I have to climb a mountain  
You know I will  
And if I had to up-a on a Blueberry Hill  
You know I'm gonna find that child you know I will  
  
'Cause I've been searchin' Whoah Lord now searchin'  
For goodness searchin' every way which way oh yay  
I'm like the Northwest Mountie  
You know I'll bring her in someday  
  
Yeah well Sherlock Holmes and old Sam Spade  
They got and old Blackie  
Sergeant Friday Charlie Chan  
They got nothing child on me  
'Cause no matter where she hides  
Man she's gonna hear me comin'  
I'm gonna walk right down that street  
Just like a Bulldog Drummond  
  
[Chorus: Repeat 2X]

",Searchin',Hollies
"[Verse 1]  
There's a reason you're everywhere  
Breathe you in like you're in the air  
Maybe you should call off the day  
Give your girl some time to play  
In my room, from the ceiling to the floor  
My body knows that you've been here before  
  
[Chorus]  
Every second here without you, I pretend we're skin to skin  
Every single breath reminds me that you never, ever left  
Every time I think about you, I can feel my hand give in  
Cause you're keeping me safe and warm  
Even when I'm home alone  
Wearing nothing but your cologne  
  
[Verse 2]  
Maybe you should call off the day  
Give your girl some time to play  
Running my mind cause my heart lost all control  
Only one thing that can give me that multiple  
  
[Chorus]  
Every second here without you, I pretend we're skin to skin  
Every single breath reminds me that you never, ever left  
Every time I think about you, I can feel my hand give in  
Cause you're keeping me safe and warm  
Even when I'm home alone  
Wearing nothing but your cologne  
Wearing nothing but your cologne  
Wearing nothing but your cologne, cologne  
Wearing nothing but your cologne  
  
[Bridge]  
All the way down  
Feels like you're around  
Forever in the moment  
I love it, and you know it  
All the way down  
Feels like you're around  
Forever in the moment  
I love it, and you know it  
  
[Chorus]  
Every second here without you, I pretend we're skin to skin  
Every single breath reminds me that you never, ever left  
Every time I think about you, I can feel my hand give in  
Cause you're keeping me safe and warm  
Even when I'm home alone  
Wearing nothing but your cologne  
Wearing nothing but your cologne  
Wearing nothing but your cologne, cologne  
Wearing nothing but your cologne  
Wearing nothing but your cologne

",Cologne,Selena Gomez
"Verse 1:  
Great is the Lord  
God almighty  
Great is the Lord on high  
The train of His robe  
Fills the temple  
And we cry out  
Highest praise  
Pre-Chorus:  
Glory to the risen king  
Glory to the Son  
Glorious Son  
Chorus:  
Lift up your heads  
Open the doors  
Let the king  
Of glory come in  
And forever be our God  
Verse 2:  
Holy is the Lord  
God almighty  
Holy is the Lord on high  
Let all the earth  
Bow before you  
And crown You Lord of all

",Glory,Hillsong United
"In the night there is  
A gentle voice of silence  
So low and quiet  
She'll catch me 'cause I've been longing.  
  
I want to walk in your park  
'cause I'm alone,  
I want to walk in your heart  
Where are you? I don't know  
  
I look around and see  
The sunshine in the morning.  
(Shadows in the night  
Like angels by your side in the alley)  
  
On my journey I change the time,  
Leave everything behind me.  
(Shadows in the night  
Like angels by your side in the alley)  
  
I want to walk in your park  
'cause I'm alone,  
I want to walk in your heart  
Where are you? I don't know  
  
Let me walk, let me walk in your heart!

",In Your Park,Scorpions
"Split, split in two  
Somethin' else  
Shed precious skin  
Save yourself  
Bleed afterbirth  
What you're worth  
Yes, yes, of course  
It's gonna hurt  
  
Nature is violent  
The nature of the beast is violent  
You know that, and someone else  
Another one that wasn't me, no  
  
It's getting harder to tell the two of you apart  
It's getting harder to tell the two of you apart  
I can't believe I could never remember which one you are  
It's getting harder to tell the two of you apart  
  
Thrive, just become  
Your disease  
Leave them behind  
You are free  
Hey, what you want  
You deserve  
Yes, yes, of course  
This is gonna hurt  
  
It's getting harder to tell the two of you apart  
It's getting harder to tell the two of you apart  
I can't believe I could never remember which one you are  
It's getting harder to tell the two of you apart  
  
I just don't know anymore  
I just don't know anymore

",In Two,Nine Inch Nails
"A little stretch of river on a big green field  
The kind you see from airplanes baby, that's the deal, that's the deal  
A place to plan a future, a place to keep the past  
A place to raise some kids, and what's wrong with that, wrong with that  
  
Maybe it's the same routine  
Walking on the concrete  
Running like a river so deep  
Wearin' down my high heels  
Wearin' down my high ideals  
Of what I thought my life was supposed to be  
  
Everybody's got a weakness, some kind of kryptonite wearing 'em down  
Everybody's got dreams they can't let go of, don't they, baby?  
Everybody has a little secret they keep inside and mine's  
Livin' happily ever afterly  
With you, with you  
  
I want to paint the world with the colors that I see  
Every time I close my eyes and you're kissin' me, kissin' me  
I wanna wake up in your arms so far from here  
I wanna get lost in the dark and know you're near, know you're near  
  
Maybe it's an old love song playing up loud on the radio bringin' these
thoughts on  
Getting me thinking that there might be a little bit more than what I'm
working for  
Or maybe it's just me  
  
Everybody's got a weakness, some kind of kryptonite wearing 'em down  
Everybody's got dreams they can't let go of, don't they, baby?  
Everybody has a little secret they keep inside and mine's  
Livin' happily ever afterly  
With you, with you  
  
Everybody's got a weakness  
  
Everybody's got a weakness, some kind of kryptonite wearing 'em down  
Everybody's got dreams they can't let go of, don't they, baby?  
Everybody has a little secret they keep inside and mine's  
Livin' happily ever afterly  
With you, with you  
  
With you

",With You,Leann Rimes
"Where do you go when you think about me?  
What do I do when I think about you?  
  
Skyline  
Passion  
City streets that I adore  
Shadows  
By me grow  
Rent collectors at my door  
  
You got your religion  
I got my addictions  
We got dirty dishes in the sink  
Looking from the window  
Kissing in the kitchen  
Fall so hard that I don't have to think  
  
Darlene  
This is where I want to be  
Wrapped within your arms eternally  
Falling deep under your spell  
High upon the magic that you weave  
  
Mindless  
Game shows  
Flicking through the multi-screen  
Twilight  
Time is slow  
Fall so hard that I could scream  
  
You got your religion  
I got my addictions  
Fall so hard that I don't have to think  
  
Darlene  
This is where I want to be  
Wrapped within your arms eternally  
Falling deep under your spell  
High upon the magic that you weave  
  
All the things that I adore  
Ones I've chosen to ignore  
Rent collectors at my door  
I can't take it anymore  
  
Where do you go when you think about me?  
What do I do when I think about you?  
  
You got your religion  
I got my addictions  
We got dirty dishes in the sink  
  
Darlene  
This is where I want to be  
Wrapped within your arms eternally  
Falling deep under your spell  
High upon the magic that you weave  
  
Darlene  
This is where I want to be  
Wrapped within your arms eternally  
Falling deep under your spell  
High upon the magic that you weave

",Darlene,Erasure
"Her close friends have gathered.  
Lord, ain't it a shame  
Grieving together  
Sharing the blame.  
But when she was dying  
Lord, we let her down.  
There's no use cryin'  
It can't help her now.  
  
The party's all over  
Drink up and go home.  
It's too late to love her  
And leave her alone.  
  
Just say she was someone  
Lord, so far from home  
Whose life was so lonesome  
She died all alone  
Who dreamed pretty dreams  
That never came true  
Lord, why was she born  
So black and blue?  
Oh, why was she born  
So black and blue?

",Epitaph,Kris Kristofferson
"I'll remember you  
When I've forgotten all the rest  
You to me were true  
You to me were the best  
When there is no more  
You cut to the core  
Quicker than anyone I knew  
When I'm all alone  
In the great unknown  
I'll remember you.  
  
I'll remember you  
At the end of the trail  
I had so much left to do  
I had so little time to fail  
There's some people that  
You don't forget  
Even though you've only seen 'em  
One time or two  
When the roses fade  
And I'm in the shade  
I'll remember you.  
  
Didn't I, didn't I try to love you?  
Didn't I, didn't I try to care?  
Didn't I sleep, didn't I weep beside you  
With the rain blowing in your hair.  
  
I'll remember you  
When the wind blows through the piny wood  
It was you who came right through  
It was you who understood  
Though I'd never say  
That I done it the way  
That you'd have liked me to  
In the end  
My dear sweet friend  
I'll remember you.

",I'll Remember You,Bob Dylan
"Are you going to help me or will you let me down?  
I'm looking for a true love but am I lost or found?  
And will we cry in passion or will we cry in pain?  
And will our lonely teardrops fill the world with rain?  
  
Help me up, don't you let me down  
I'm gonna wake up in heaven, not the cold, cold ground  
  
Can't you hear the lovers crying in the night?  
They spend their whole lives trying, still can't get it right  
I don't know where we're going but I guess we'll start  
And just to show that I mean it, baby here's my heart  
  
Help me up, don't you let me down  
I'm gonna wake up in heaven, not the cold, cold ground  
  
Living on my feelings, feelings all I know  
Baby once we touch it, we'll never let it go  
  
Are you going to help me or will you let me down?  
I'm looking for a true love but am I lost or found?  
And will we cry in passion or will we cry in pain?  
And will our lonely teardrops fill the world with rain?  
  
Help me up, don't you let me down  
I'm gonna wake up in heaven, not the cold, cold ground  
Help me up, don't you let me down  
I'm gonna wake up in heaven, not the cold, cold ground

",Help Me Up,Eric Clapton
"I got a letter from a friend the other morning  
He say it's hot down by Montego Bay  
I got the point and now I think it's finally dawning  
Yeah, yeah, I got to get away  
I got to take myself a Permanent Vacation  
The sky's the limit, but my plane won't fly  
My nose is clean and Lordie don't need no sedation  
Yeah, yeah, and that's the reason why  
I really need it, really, really need St. Tropez  
I want a tan where the sun it never shines  
I really need it, really, really need St. Tropez  
You best believe it that I got to get away  
I got a sister, man she really got a pin head  
She think she kinky but she can't get straight  
She say she livin', but I kinda think she's brain dead  
Just excess baggage on a late night freight  
I really need it, really, really need St. Tropez  
I want a tan where the sun it never shines  
I really need it, really, really need St. Tropez  
You best believe it that I got to get away  
I gotta take me on a Permanent Vacation  
The girl's be cummin' down in Cayman Brack  
I gotta hand it to a firm situation  
Yeah, yeah, got to cut me some slack  
I really need it, really, really need St. Tropez  
I want a tan where the sun it never shines  
I really need it, really, really need St. Tropez  
I really need it, really need it, really really...

",Permanent Vacation,Aerosmith
"Put yourself in my place  
If only for a day  
See if you can stand  
The awful hurt I feel inside  
  
Put yourself in my place  
For just a little while  
Live through the loneliness  
The endless emptiness  
I go through  
  
And when you lose a little sleep at night  
Cause you ain't been treated right  
Then you know heartaches are sad  
Sitting by the telephone  
Being left all alone  
Then you know why I'm feeling bad  
Put yourself in my place  
  
And when you're just about to go insane  
Cause it hurts to love in vain  
Ask a girl who's been in love  
I believed your evil line  
Now I'm left alone and crying  
Alone to count the stars above  
  
Put yourself in my place  
If only for a day  
See if you can stand  
The awful emptiness  
I feel inside  
Put yourself in my place  
  
Put yourself in my place  
For just a little while  
Why don't you try it  
Why don't you try it  
Why don't you try it baby

",Put Yourself In My Place,Isley Brothers
"(I can't help it if I'm still in love with you)  
Today I passed you on the street  
And my heart fell at your feet  
I can't help it if I'm still in love with you  
  
Somebody else stood by your side  
And he looked so satisfied  
I can't help it if I'm still in love with you  
A picture from the past came slowly stealing  
  
As I brushed your arm and walked so close to you  
And suddenly I got that old time feeling  
I can't help it if I'm still in love with you  
(It's hard to know when others' lips will kiss you)  
  
(And hold you just the way I used to do)  
Oh heaven only knows how much I miss you  
I can't help it if I'm still in love with you  
I can't help it if I'm still in love with you

",I Can't Help It,Dean Martin
"Whoa oh oh  
No  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
  
Brain invasion goin' on in everyone  
You feel the things that make your world turn angry red  
Because the next time you can't take it  
Next thought murderlation  
And hate is all you want to know  
  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
  
Murder one inborn into your every cell  
It's in your blood and you can't shake it  
Because you were bred to take it  
Next stop annihilation  
They bred the hate right in your bones  
  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
  
Because you were bred to take it  
Next stop annihilation  
They bred the hate right in your fuckin' bones  
  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
  
Hate is your mistress and you shall not want  
You shall not want because your breed is strong  
Because when they try to break you  
New world desolation  
And strength is all you gotta know  
  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
Whoa oh oh  
Hate breeders  
Whoa oh oh  
  
And all you know  
Hatebreeders  
Whoa oh oh  
And all you know  
Hatebreeders  
Whoa oh oh

",Hate Breeders,Misfits
"As I was out walking on the corner one day  
I spied an old hobo, in the doorway he lay  
His face was all covered in the cold sidewalk floor  
I guess he'd been there for a whole night or more  
  
He was only a hobo, but one more is gone  
Leaving nobody to carry it on  
Leaving nobody to sing his sad song  
Only a hobo, but one more is gone  
  
A blanket of newspaper covered his head  
The step was his pillow  
The street was his bed  
One look at his face  
showed the hard road he'd come  
and a fistful of money  
showed the coins that he'd bummed  
  
He was only a hobo, but one more is gone  
Leavin' nobody to sing his sad song  
Leavin' nobody to carry it on  
Only a hobo, but one more is gone  
  
Does it take much of a man  
to see a whole life go down  
To look on the world  
from a hole in the ground  
Too late for your future  
like a horse that's gone lame  
To lie in the gutter  
and die with no name  
  
He was only a hobo, but one more is gone  
Leavin' nobody to sing his sad song  
Leavin' nobody to carry it on  
Only a hobo, but one more is gone

",Only A Hobo,Rod Stewart
"I.  
What must I do to make you understand?  
You mean everything to me  
Don't have the strength to say  
Give this heart of mine a chance  
And maybe then you will see  
  
Refrain 1:  
And I'll do anything, do anything that you tell me  
And I'll be there, I'll be there if you need me  
  
Chorus 1:  
Reachin' out to you  
Do you feel it too?  
Loving you is all I wanna do  
I'm completely sure  
I've never felt this way before  
When I smile you know that there is something more  
  
Ii.  
What must I do so I can make you see?  
The light that shines in my eyes  
You brighten up my day  
You even help me find my way  
I wish you're always by my side  
  
Refrain 2:  
And I can't stop, don't know how to stop thinkin' of you  
And I'll do anything, do anything to be near, near you  
  
Chorus 2:  
Reachin' out to you  
Do you feel it too?  
Loving you is all I wanna do  
I'm completely sure  
I've never felt this way before  
Deep inside you know that there is something more  
  
Repeat chorus 2  
  
Deep inside you know that there is something more

",Reachin' Out,Gary Valenciano
"If I give my heart to you, will you handle it with care?  
Will you always treat me tenderly and in every way be fair?  
If I give my heart to you, will you give me all your love?  
Will you swear that you'll be true to me by the light that shines above?  
And will you sigh with me when I'm sad  
Smile with me when I'm glad  
And always be as you are with me tonight  
  
Think it over and be sure  
Please don't answer 'til you do  
When you promise all these things to me  
Then I'll give my heart to you  
  
If I give my heart to you, will you handle it with care?  
Will you always treat me tenderly and in every way be fair?  
If I give my heart to you, will you give me all your love?  
Will you swear that you'll be true to me by the light that shines above?  
And will you sigh with me when I'm sad  
Smile with me when I'm glad  
And always be as you are with me tonight  
  
Think it over and be sure  
Please don't answer 'til you do  
When you promise all these things to me  
Then I'll give my heart to you  

",If I Give My Heart To You,Doris Day
"This is fun day  
Yours and my day  
This is fun day, dee oh, wee oh  
  
This is fun day  
On a fine day  
When the air is filled with tweeting birds that sing  
Together in the sun  
This is your day  
Yours and my day  
When you feel the joy of children playing,  
Laughing from dust till dawn  
On a day like this you share your joy  
With everyone  
Share your peace, and share your joy,  
And share your love  
  
This is fun day  
On a fine day  
When you feel the urge of getting up to start-up  
With the break of dawn  
This is your day  
Yours and my day  
When you turn on your radio and hear the DJ  
Playing your favorite song  
On a day like this not even bad can rub  
You wrong  
'Cause you say it's okay 'cause it's your day  
  
I'm gonna go out to the park  
Where you feel the joy in every heart  
That's what I need to start each day off right  
Oh, I'll find a place for you and me  
Underneath the shade of a lover's tree  
Fun day should be each day in all our lives  
  
This is fun day  
Yours and my day  
This is fun day, dee oh, wee oh  
  
This is love day  
A celebration  
A day on every calendar that's set aside  
For everyone to give  
This is your day  
Such a fun day  
I cannot believe a day like this has come  
That's if this really is  
I'm so very proud to say that for this day I've lived  
To see your peace, to see your joy, and to  
sSe your love  
  
I'm gonna go out to the park  
Where you feel the joy in every heart  
That's what I need to start this day off right  
  
Oh, I'll find a place for you and me  
Underneath the shade of a lover's tree  
Fun day should be each day in all our lives  
  
This is love day  
A celebration  
A day on every calendar that's set aside for  
Everyone to give  
  
Let me solo, let me solo, let me solo, solo

",Fun Day,Stevie Wonder
"He don't deserve you.  
I swear it's crazy how your man be treating ya.  
He be acting funny but he really doesn't need ya.  
I'd cut him out of the picture because he don't deserve you.  
If it's attention that you want then I can give you closure.  
Baby close your eyes so I can show ya.  
I need you on my team, baby won't you let me coach ya.  
Put you on some things that you never, cause it's wise, clever.  
It's guarantee what he do, I can do better.  
  
You should already know you should be with me.  
And if you would just let him go, then only you would see, blindfolded.  
Baby there's no need to be naive, blindfolded.  
Girl you need to leave him, let him be.  
It's so sad to see that you can't see what's going on.  
Baby come with me, can't you see, blindfolded.  
Baby there's no need to be naive, blindfolded.  
Girl with me is where you need to be.  
  
What's it gonna take, how many times you gonna let the man make your heart
break.  
Giving your heart to him was a big mistake.  
Girl you really don't need him, what you see in him you need to fall back.  
Girl I can carry you, this time you're on your own but,  
What I could do for you, you won't be all alone.  
Now baby stop second guessing it, you've got a winner ain't no stressing it.  
Girl you should know.  
  
You should already know you should be with me.  
And if you would just let him go, then only you would see, blindfolded.  
Baby there's no need to be naive, blindfolded.  
Girl you need to leave him, let him be.  
It's so sad to see that you can't see what's going on.  
Baby come with me, can't you see, blindfolded.  
Baby there's no need to be naive, blindfolded.  
Girl with me is where you need to be.  
  
Open up your eyes and realize that you deserve better.  
I got what you need, read between the lines girl you know what I mean.  
Already through but girl you know it's a go [?]  
If you want it, come get it.  
You know it's f'sho.  
I know you're hurting girl, but I'm not hating.  
Just [?] the truth, you might as well face it.  
(Ooh)  
  
You should already know you should be with me.  
And if you would just let him go, then only you would see, blindfolded.  
Baby there's no need to be naive, blindfolded.  
Girl you need to leave him, let him be.  
It's so sad to see that you can't see what's going on.  
Baby come with me, can't you see, blindfolded.  
Baby there's no need to be naive, blindfolded.  
Girl with me is where you need to be.  
  
He's got you blindfolded.  
(Repeat x15)  
  
You should already know you should be with me.  
And if you would just let him go, then only you would see, blindfolded.  
Baby there's no need to be naive, blindfolded.  
Girl you need to leave him, let him be.  
It's so sad to see that you can't see what's going on.  
Baby come with me, can't you see, blindfolded.  
Baby there's no need to be naive, blindfolded.  
Girl with me is where you need to be.

",Blind Folded,Chris Brown
"You'll be better off, I know  
With another kind of man  
All I've got is what I feel  
And what I feel is what I am  
  
But let me take you in my arms again  
Let me take you in my arms and then  
Let me see behind your smile  
Let me love you like a child  
Let me take you in my arms  
  
I'm like a train that's rollin' on a track  
Like a train that's got no turnin' back  
Let me keep you from the storm  
Let me make you safe and warm  
Let me take you in my arms  
  
You'll be better off, I know  
With another kind of man  
All I've got is what I feel  
But what I feel is what I am  
  
Let me take you in my arms again  
Won't be easy, but I'll learn to bend  
Like a ship without a sail  
On a sea without a trail  
Let me take you in my arms  
  
You'll be better off, I know  
With another kind of man  
All I've got is what I feel  
But what I feel is what I am  
  
Let me take you in my arms again  
Won't be easy, but I'll learn to bend  
Like a ship without a sail  
On a sea without a trail  
Let me take you in my arms  
  
But let me take you in my arms again  
Let me take you in my arms and then  
Let me see behind your smile  
Let me love you like a child  
Let me take you in my arms  
  
Let me take you in my arms again  
Let me take you in my arms and then  
Let me see behind your smile  
Let me love you like a child  
Let me take you in my arms  
  
Let me take you in my arms again

",Let Me Take You In My Arms Again,Neil Diamond
"Come on now Willie don't look at me that way  
I know you like a paperback book cause I've read every page  
I know what you're thinkin' and I don't think you're thinkin' at all  
This is old hoss that's you're talkin' to the one with the perfect recall  
  
No I ain't going down on the border with you tonight  
Drinking tequila taking chances on our lives  
All the women are crazy they like to party till daylight  
On second thought if I can find a clean shirt I might  
  
Wait a minute Waylon I ain't said a thing about that  
Sometimes I just like to wear my spurs and my old Mexican hat  
But we sure had fun the last time that we were down there  
And we woke up you had that weird tattoo and somebody had curled my hair  
  
No I ain't going down on the border...  
  
All the women are crazy they like to party till daylight  
On second thought if I can find a clean shirt I might

",If I Can Find A Clean Shirt,Waylon Jennings
"Fly with new blast, get gas  
Kid Rock some folks thought I'd flew right past  
Faded fast, ran outta gas  
Here I come again, all back in that ass  
  
No questions, I tell no lies  
Rely Kid Rock is on the rise  
Like a sky scraper  
I'm back like smack, and so are the vapors  
  
And the papers, cause I'm gonna rhyme  
Right, jump right back up into the lime light  
And I'm rackin my brain where the pain was  
No I got more soul than the train does  
  
Mid western funkin, car pumpin from the amps in the trunkin  
Ya can't stop this boy, this time  
I'm the real macoy  
And you know My name is Rock  
  
You know My name is Rock [Repeat: x 7]  
  
So hey punk, feel the funk  
Feel the wrath of the rock  
Non stop, I got a glock in my pants  
I don't dance, I sit around  
  
I don't sip 40's, I pound  
I been around too long, commin too strong  
Kid Rock got it goin on  
See me, see you, see through, emcee's who knew  
  
Fly like the wind, I hang like a hinge  
Been gone like rhymes on a drinkin binge  
So don't cringe at the sight of Rock  
Ya want to fight the rock, ya gotta fight this glock  
  
And you can say my beats are fake  
But it don't mean shit when your gettin paid  
Hip-Hop, the jam don't stop  
  
You know My name is Rock [Repeat: x 7]  
  
I'm the D to the O, P to the D  
O to the straight up G see  
I been around like Jesus layin tracks  
But I had to come back, I had to come back  
  
Back from the dead, enough said  
Still trippin like Fred  
Be red, ya got a head full of holes  
I got a head full of bowls  
  
I'm the K-I straight from the D, punk  
From the home of the be funk  
Ain't no frontin here, I won't disapear  
I'll be around next year  
  
I'm the Jiffymack  
In the rack, writin off for some ify crack  
Last year, this year it's all the same  
But you know my name is Rock  
  
You know My name is Rock [Repeat: x 8]  
  
K-I-D's the name

",My Name Is Rock,Kid Rock
"Eye on the TV  
Cause tragedy thrills me  
Whatever flavor it happens to be  
Like  
Killed by the husband""  
""Drowned by the ocean""  
Shot by his own son  
She used a poison  
In his tea  
And kissed him goodbye  
That's my kind of story  
It's no fun until someone dies  
  
Don't look at me like  
I am a monster  
Frown out your one face  
But with the other  
Stare like a junkie  
Into the TV  
Stare like a zombie  
  
While the mother holds her child  
Watches him die  
Hands to the sky crying,  
""Why, oh why?""  
  
Cause I need to watch things die, from a distance  
Vicariously I live while the whole world dies  
You all need it too, don't lie  
  
Why can't we just admit it?  
Why can't we just admit it?  
We won't give pause until the blood is flowing  
Neither the brave nor bold  
Were writers of the stories told  
We won't give pause until the blood is flowing  
  
I need to watch things die... from a good safe distance  
Vicariously I live while the whole world dies  
You all feel the same, so  
  
Why can't we just admit it?  
  
Blood like rain come down  
Drum on grave and ground  
  
Part vampire  
Part warrior  
Carnivore and voyeur  
Still have the transmitter  
Synched to the death rattle  
  
La, la, la, la, la, la-la-lie (x4)  
  
Credulous at best  
Your desire to believe in  
Angels in the hearts of men  
Pull your head of your hippie haze, and give a listen  
Shouldn't have to say it all again  
  
The universe is hostile, so impersonal  
Devour to survive, so it is, so it's always been  
  
We all feed on tragedy  
It's like blood to a vampire  
  
Vicariously I live while the whole world dies  
Much better you than I

",Vicarious,Tool
"Let's see action  
Let's see people  
Let's see freedom  
Let's see who cares  
  
Take me with you when you leave me  
And my shell behind us there  
I have learned it known who burned me  
Avatar has warmed his feet  
  
Take me with you  
When you leave me  
Time and life can meet  
  
Rumor has it minds are open  
Then rumors fill them up with lies  
Please the people, audiences  
I try to scream, 'cause nothing dies  
  
Let's see action  
Let's see people  
Let's see freedom  
In the air  
  
Let's see action  
Let's see people  
Let's be free  
Let's see who cares  
  
Let's see action  
Let's see people  
Let's see freedom  
In the air  
  
Let's see action  
Let's see people  
Let's be free  
Let's see who cares  
  
Give me a drink boy, wash my feet  
I'm so tired of running from my own heat  
Take this package and here's what you do  
You gonna get this information through  
  
I don't know where I'm going  
I don't know what I need  
But I'll get to where I'm gonna end up  
And that's alright by me  
  
I've been running from side to side  
Now I know for sure that both sides lied  
It's got so hard but we gotta keep trying  
I can't stand to see my people crying  
  
I don't know where I'm going  
I don't know what I need  
I'm gonna get to where I'm gonna end up  
And that's alright by me  
  
Let's see action  
Let's see people  
Let's see freedom  
In the air  
  
Let's see action  
Let's see people  
Let's be free  
And see who cares  
  
Let's see action  
Let's see people  
Let's see freedom  
In the air  
  
Let's see action  
Let's see people  
Let's be free  
Let's see who cares  
  
Nothing is everything  
Everything is nothing is  
Please the people, audiences  
Break the fences, nothing is  
  
Let's see action  
Let's see people  
Let's see freedom  
In the air  
  
Let's see action  
Let's see people  
Let's be free  
Let's see who cares  
  
Nothing is everything  
Everything is nothing  
Nothing is everything  
Everything is nothing

",Let's See Action,Who
